x111,y111,x121,y121,x211,y211,x221,y221,x311,y311,x321,y321,,x112,y112,x122,y122,x212,y212,x222,y222,x312,y312,x322,y322,,x113,y113,x123,y123,x213,y213,x223,y223,x313,y313,x323,y323,,x114,y114,x124,y124,x214,y214,x224,y224,x314,y314,x324,y324
"-14,94355","0,01459281","-0,149496","1,356956","-14,23526","0,5627135","-0,1413102","1,344317","-13,64569","0,4493432","-7,16E-02","1,38E+00",,"-11,35994","0,5095584","-0,1225286","1,346586","-12,82584","0,2644595","-0,1273142","1,26764","-16,64038","0,1850216","-0,06240654","1,207837",,"-14,19976","0,3119602","-0,08343963","1,293976","-10,77198","0,1153715","-0,07453325","1,297311","-11,94296","0,3558136","-7,16E-02","1,38E+00",,"-13,67928","-0,03291387","-0,09176628","1,231024","-12,60973","0,225622","-0,1158161","1,314734","-12,78517","0,07017535","-0,06886979","1,224183"
"-15,85146","-0,122539","-0,143246","1,335081","-15,19205","0,2464314","-0,1380309","1,323913","-13,94406","0,3458272","-6,34E-02","1,36E+00",,"-12,1157","0,2839586","-0,1203664","1,323523","-13,69256","-0,06055981","-0,1268059","1,246292","-16,91213","0,2601867","-0,05958177","1,184432",,"-15,0855","0,005570718","-0,07707987","1,272353","-11,00018","0,03809437","-0,0680521","1,275707","-12,72421","0,09668849","-6,34E-02","1,36E+00",,"-13,87928","0,04137234","-0,09084119","1,212522","-13,41649","-0,06166227","-0,1176161","1,295384","-13,44835","0,07017535","-0,0663479","1,202495"
"-16,07371","-0,07052346","-0,136996","1,303831","-15,49973","0,1378362","-0,1271679","1,299939","-14,81482","0,03527897","-5,82E-02","1,33E+00",,"-12,34694","0,2049986","-0,1153214","1,302622","-13,9375","-0,01345556","-0,123248","1,222404","-17,7216","0,4509902","-0,05756408","1,162641",,"-15,33062","0,01114144","-0,07771585","1,252637","-11,55718","0,006870593","-0,06877223","1,256983","-12,95626","-0,007735079","-5,82E-02","1,33E+00",,"-14,43928","0,2013734","-0,09037865","1,194021","-13,60539","-0,03017906","-0,1135661","1,274684","-13,64795","0,1345619","-0,06418938","1,182686"
"-16,71208","0,1280812","-0,136996","1,281956","-16,36397","-0,05673031","-0,1279859","1,284396","-15,09492","-0,02561284","-5,07E-02","1,31E+00",,"-13,09142","-0,05444119","-0,1164024","1,284604","-14,59696","0,170251","-0,1201984","1,202581","-17,97022","0,5030275","-0,05554639","1,14085",,"-16,0381","0,1894044","-0,07517195","1,233558","-11,72887","0,06319585","-0,06625178","1,233939","-13,57893","0,1121586","-5,07E-02","1,31E+00",,"-14,63929","0,2585167","-0,08575321","1,174594","-14,16422","0,1193662","-0,1104161","1,254884","-14,1888","0,282651","-0,06418938","1,16089"
"-16,9296","0,1895541","-0,136996","1,263206","-16,56759","0,02019132","-0,1263498","1,258218","-15,64295","0,1570626","-4,54E-02","1,28E+00",,"-13,28318","0,001958764","-0,1117178","1,268028","-14,82777","0,2314865","-0,1187899","1,18041","-18,76813","0,6417937","-0,05675701","1,121076",,"-16,25536","0,2451116","-0,07072012","1,210027","-12,20571","0,1990204","-0,06049075","1,210175","-13,77231","0,150834","-4,54E-02","1,28E+00",,"-15,18786","0,3899461","-0,08817888","1,153879","-14,32557","0,1626556","-0,1081661","1,234634","-14,36908","0,3277216","-0,0599434","1,140792"
"-17,59161","0,3361432","-0,136996","1,241331","-17,18296","0,210233","-0,1230775","1,238585","-15,85607","0,2118652","-3,96E-02","1,26E+00",,"-13,8641","0,1485987","-0,1066727","1,251451","-15,49665","0,3680888","-0,1150817","1,160443","-18,98206","0,6822672","-0,05191455","1,098478",,"-16,96841","0,3843796","-0,06944817","1,188404","-12,38199","0,2172286","-0,05941056","1,192172","-14,38338","0,2784628","-3,96E-02","1,26E+00",,"-15,38215","0,4242321","-0,08621655","1,130986","-14,90407","0,2728468","-0,1054661","1,214834","-14,89061","0,4371788","-0,05767888","1,122393"
"-17,81386","0,369244","-0,133871","1,219456","-17,38657","0,2690554","-0,1222595","1,219769","-16,38583","0,3701839","-3,85E-02","1,24E+00",,"-14,06714","0,1880786","-0,1077538","1,224424","-15,70862","0,4246139","-0,1088062","1,136197","-19,79153","0,7921238","-0,04868625","1,077091",,"-17,21909","0,4233746","-0,06690427","1,16996","-12,85869","0,3244824","-0,05689011","1,172008","-14,59609","0,3326084","-3,85E-02","1,24E+00",,"-15,91929","0,5499472","-0,08425423","1,112016","-15,07723","0,3082654","-0,1054661","1,193684","-15,07733","0,4886881","-0,05654662","1,100314"
"-18,43805","0,4827323","-0,127621","1,197581","-17,98837","0,4228987","-0,1173511","1,200136","-16,58068","0,406719","-3,67E-02","1,22E+00",,"-14,64242","0,3008785","-0,1055916","1,207848","-16,3775","0,5235329","-0,1082357","1,118797","-20,07485","0,8210334","-0,04626502","1,056107",,"-17,85415","0,5626425","-0,06545333","1,151343","-13,0112","0,3523276","-0,05517442","1,159248","-15,18396","0,4215618","-3,67E-02","1,22E+00",,"-16,08501","0,5499472","-0,08294601","1,096645","-15,59277","0,4027151","-0,1027661","1,171184","-15,58599","0,5788293","-0,05654662","1,0805"
"-18,63192","0,5063758","-0,130746","1,172581","-18,18294","0,4590971","-0,1189872","1,184593","-17,11653","0,5345918","-3,22E-02","1,20E+00",,"-14,8229","0,3347185","-0,1016277","1,189109","-16,58005","0,5753475","-0,1065242","1,097688","-20,80337","0,8904165","-0,04465087","1,037141",,"-18,08255","0,5515011","-0,06195572","1,135762","-13,4735","0,4358405","-0,05228733","1,134226","-15,3696","0,4563697","-3,22E-02","1,20E+00",,"-16,65073","0,6242334","-0,08261895","1,074732","-15,7738","0,4263275","-0,09961613","1,154984","-15,76627","0,5917066","-0,0551313","1,059553"
"-19,26557","0,5725773","-0,133871","1,153831",,,"-0,1148969","1,165777","-17,31415","0,5521945","-2,96E-02","1,18E+00",,,,"-0,1005466","1,175776","-17,23009","0,6365831","-0,106239","1,081144","-21,09825","0,9135442","-0,04465087","1,017367",,"-18,7399","0,6462033","-0,05845812","1,116049","-13,645","0,4493095","-0,04715473","1,116262","-15,96134","0,5143828","-2,96E-02","1,18E+00",,"-16,81644","0,6356621","-0,08196484","1,05609","-16,29327","0,4971647","-0,1023161","1,134284","-16,26204","0,6432158","-0,05258371","1,044267"
